"","Region","Mean Longitude","Mean Latitude","Distance to Range Edge (km)","Number of Individuals","MLG","Number of Alleles","Allelic Richness","Expected Heterozygosity"
"1","New Brunswick",-66.1,46.6,95.8,92,91,130,7.51,0.799
"2","New Brunswick",-67.7,46.7,110,24,24,112,8.51,0.839
"3","New Brunswick",-65.6,45.7,161,20,20,90,7.36,0.78
"4","New Brunswick",-67.7,46.1,168,110,109,138,8.07,0.834
"5","New Brunswick",-66.4,45.9,168,112,112,151,8.49,0.826
"6","New Brunswick",-66.7,46,160,102,102,146,8.32,0.838
"7","New Brunswick",-78.5,44.6,285,35,35,135,9.41,0.857
"8","Ontario",-77.1,45.4,180,55,55,151,9.22,0.857
"9","Quebec",-79.4,44.1,359,61,61,141,8.53,0.837
"10","Ontario",-80.1,44,373,227,225,152,8.03,0.829
"11","Ontario",-75.5,45,257,126,126,148,8.34,0.834
"12","Quebec",-79.3,41.6,517,114,114,170,9.19,0.846
"13","United States",-85.9,35.9,451,136,136,159,8.42,0.835
"14","United States",-73,44.4,316,21,21,101,8.05,0.818
"15","United States",-72.7,44,273,33,33,126,8.74,0.841
"16","United States",-88.6,45.5,186,27,27,86,6.7,0.774
"17","United States",-79.4,38.6,353,28,28,123,8.8,0.838
"18","United States",-72.6,43,237,21,21,105,8.31,0.815
"19","United States",-86.1,37.2,573,61,61,155,9.31,0.851
"20","United States",-91.3,37.1,328,121,121,167,8.76,0.83
"21","United States",-90.7,34.6,278,30,30,118,8.37,0.798
"22","United States",-88.8,42.8,454,39,39,94,6.47,0.751
"23","United States",-89.1,44.5,291,18,18,84,6.88,0.758
"24","United States",-78.5,38.4,274,22,22,121,9.23,0.839
