"","Absence_points","NA"
"X1",18831.79614636,831488.12446946
"X1.1",19488.79614636,331618.12446946
"X1.2",20145.79614636,893248.12446946
"X1.3",23430.79614636,837278.12446946
"X1.4",23430.79614636,1032208.12446946
"X1.5",24087.79614636,-962446.87553054
"X1.6",24744.79614636,-92981.87553054
"X1.7",25401.79614636,762008.12446946
"X1.8",27372.79614636,-306246.87553054
"X1.9",28686.79614636,-981746.87553054
"X1.10",28686.79614636,-268611.87553054
"X1.11",29343.79614636,375043.12446946
"X1.12",30657.79614636,759113.12446946
"X1.13",31314.79614636,-683561.87553054
"X1.14",31314.79614636,-324581.87553054
"X1.15",31314.79614636,740778.12446946
"X1.16",31971.79614636,-588026.87553054
"X1.17",32628.79614636,346093.12446946
"X1.18",33285.79614636,648138.12446946
"X1.19",33942.79614636,-432661.87553054
"X1.20",33942.79614636,499528.12446946
"X1.21",34599.79614636,273718.12446946
"X1.22",34599.79614636,1058263.12446946
"X1.23",35256.79614636,1081423.12446946
"X1.24",35913.79614636,690598.12446946
"X1.25",36570.79614636,-118071.87553054
"X1.26",36570.79614636,174323.12446946
"X1.27",37227.79614636,546813.12446946
"X1.28",38541.79614636,-754006.87553054
"X1.29",38541.79614636,284333.12446946
"X1.30",39855.79614636,381798.12446946
"X1.31",41169.79614636,-1021311.87553054
"X1.32",41169.79614636,-857261.87553054
"X1.33",43140.79614636,-661366.87553054
"X1.34",43140.79614636,-482841.87553054
"X1.35",43140.79614636,376008.12446946
"X1.36",43140.79614636,1014838.12446946
"X1.37",43797.79614636,128003.12446946
"X1.38",44454.79614636,-285016.87553054
"X1.39",45111.79614636,122213.12446946
"X1.40",45111.79614636,319073.12446946
"X1.41",45768.79614636,-486701.87553054
"X1.42",45768.79614636,389518.12446946
"X1.43",47082.79614636,-557146.87553054
"X1.44",47082.79614636,484088.12446946
"X1.45",47739.79614636,547778.12446946
"X1.46",49053.79614636,784203.12446946
"X1.47",49710.79614636,280473.12446946
"X1.48",49710.79614636,692528.12446946
"X1.49",49710.79614636,1029313.12446946
"X1.50",50367.79614636,-790676.87553054
